id;r1;r2;r3;r4;r5;r6;r7;r8;date
1317;11;15;24;25;33;41;2;10;24;25;35;41;30/11/13
1316;6;11;30;37;42;45;5;15;29;34;44;45;27/11/13
1315;4;8;28;29;37;41;2;16;18;36;37;42;23/11/13
1314;3;15;18;29;33;42;11;14;28;29;38;41;20/11/13
1313;5;7;9;25;32;39;10;13;16;18;35;43;16/11/13
1312;1;9;32;35;36;39;8;10;17;22;35;40;13/11/13
1311;2;9;17;19;36;45;15;31;32;35;37;41;09/11/13
1310;2;11;14;34;37;39;18;22;29;34;35;40;06/11/13
1309;11;19;26;30;34;40;18;23;24;25;40;42;02/11/13
1308;20;24;26;27;40;41;3;15;22;32;33;38;30/10/13
1307;7;9;12;14;19;44;2;7;11;28;34;45;26/10/13
1306;23;25;30;38;44;45;2;9;20;33;35;41;23/10/13
1305;2;11;19;30;33;38;8;10;17;20;23;44;19/10/13
1304;10;17;30;35;37;41;15;22;29;32;35;36;16/10/13
1303;12;15;18;21;29;41;3;5;13;19;25;36;12/10/13
1302;4;7;24;30;39;44;7;25;26;30;31;41;09/10/13
1301;4;22;28;32;35;43;4;16;35;38;41;44;05/10/13
1300;7;17;33;37;39;41;3;6;8;9;12;43;02/10/13
1299;1;11;14;31;36;40;19;21;26;28;31;35;28/09/13
1298;4;9;10;23;27;32;7;23;25;28;31;32;25/09/13
1297;3;17;22;24;36;42;1;11;19;32;33;40;21/09/13
1296;2;20;26;37;40;45;4;14;16;22;29;32;18/09/13
1295;9;19;23;35;39;44;2;6;9;17;21;43;14/09/13
1294;8;9;23;38;39;40;1;8;10;13;22;42;11/09/13
1293;19;22;27;40;43;44;16;20;24;27;34;40;07/09/13
1292;10;27;28;38;39;42;4;5;8;31;34;40;04/09/13
1291;10;11;17;25;26;41;7;8;27;31;40;42;31/08/13
1290;7;11;16;21;30;43;1;8;30;31;32;43;28/08/13
1289;12;19;21;28;31;33;4;6;28;31;34;37;24/08/13
1288;2;5;11;19;30;36;8;10;12;26;27;34;21/08/13
1287;2;5;16;18;38;40;1;8;15;26;28;31;17/08/13
1286;17;25;29;30;31;34;12;20;30;31;42;44;14/08/13
1285;21;28;33;37;43;44;5;10;13;30;41;43;10/08/13
1284;6;10;22;24;28;32;3;5;9;30;35;38;07/08/13
1283;11;19;33;36;37;45;14;21;23;27;31;39;03/08/13
1282;13;14;16;37;40;45;1;7;14;19;36;45;31/07/13
1281;8;14;22;23;32;45;1;6;9;11;12;40;27/07/13
1280;1;3;18;27;32;43;1;4;5;15;23;43;24/07/13
1279;1;3;7;25;35;43;11;19;26;28;39;41;20/07/13
1278;13;15;20;22;41;44;9;13; 21;27;30;35;17/07/13
1277;4;13;16;21;30;43;2;9;11;15;17;23;13/07/13
1276;19;29;30;34;38;40;13;14;26;29;33;41;10/07/13
1275;3;9;10;17;26;44;19;25;31;32;39;42;06/07/13
1274;3;6;9;16;28;40;14;19;20;25;31;36;03/07/13
1273;2;23;25;31;34;43;11;15;20;23;25;32;29/06/13
1272;4;6;13;18;31;42;1;3;4;21;26;27;26/06/13
1271;9;16;24;25;33;45;4;17;18;22;30;32;22/06/13
1270;17;18;31;33;39;40;1;8;13;17;21;32;19/06/13
1269;1;14;17;20;30;43;1;3;9;21;25;44;15/06/13
1268;1;3;5;7;27;30;1;7;9;19;31;38;12/06/13
1267;1;13;14;18;33;43;10;18;20;25;28;45;08/06/13
1266;17;22;30;36;40;44;9;28;32;34;35;37;05/06/13
1265;3;8;20;24;29;45;1;17;25;26;31;39;01/06/13
1264;12;15;19;37;40;43;4;20;23;32;38;42;29/05/13
1263;12;13;23;30;31;32;2;9;29;31;32;39;25/05/13
1262;7;12;27;28;39;43;8;14;19;28;37;39;22/05/13
1261;2;3;13;21;38;40;3;11;23;29;32;40;18/05/13
